Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
UAL,United Continental Holdings,reports,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701
UTX,United Technologies,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,5513
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,103379
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2/12/07,203527
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260
VRSN,Verisign Inc.,reports,Information Technology,Internet Software & Services,"Dulles, Virginia",2/1/06,1014473
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145
VZ,Verizon Communications,reports,Telecommunication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,732712
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320
VIAB,Viacom Inc.,reports,Consumer Discretionary,Cable & Satellite,"New York, New York",,1339947
V,Visa Inc.,reports,Information Technology,Internet Software & Services,"San Francisco, California",12/21/09,1403161
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",,899689
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921
DIS,The Walt Disney Company,reports,Consumer Discretionary,Cable & Satellite,"Burbank, California",6/30/76,1001039
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971
HCN,Welltower Inc.,reports,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/09,106040
WU,Western Union Co,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
WRK,WestRock Company,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023
WY,Weyerhaeuser Corp.,reports,Real Estate,Specialized REITs,"Federal Way, Washington",,106535
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WFM,Whole Foods Market,reports,Consumer Staples,Food Retail,"Austin, Texas",,865436
WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903
XRX,Xerox Corp.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988
XL,XL Capital,reports,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",,109380
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,1555280
